College Name,Location,Type,Rating,Courses offered,Fee Start Range,Fee End Range
"National Institute of Technology, [NITAP] Arunachal Pradesh","Papum Pare, Arunachal Pradesh",Public,3.6,5,15 K,8 L
Arunodaya University,"Itanagar, Arunachal Pradesh",Private,N/A,10,45 K,6.25 L
Arunachal University,"Lohit, Arunachal Pradesh",Public,N/A,28,10 K,1.68 L
Dera Natung Government College,"Itanagar, Arunachal Pradesh",Public,2.7,3,15 K,40 K
Hills College of Teachers Education,"Itanagar, Arunachal Pradesh",Private,N/A,1,72 K,1.80 L
"Venkateshwara Open University, Pune","Papum Pare, Arunachal Pradesh",Private,N/A,27,9.60 L,
North East Frontier Technical University,"Along, Arunachal Pradesh",Private,N/A,18,1.20 L,17.30 L
Rajiv Gandhi University (RGU),"Itanagar, Arunachal Pradesh",Public,4.5,16,56 K,90 K
"Jawaharlal Nehru College, Pasighat","Pasighat, Arunachal Pradesh",Private,3.5,4,6 K,34 K
"St Francis Sales College, West Siang","Along, Arunachal Pradesh",Private,N/A,1,3.20 L,
"Indira Gandhi Technological and Medical Sciences University, Monipoliyang Campus, [IGTAMSU] Ziro","Itanagar, Arunachal Pradesh",Private,N/A,8,27 K,45 K
The Indira Gandhi Technological and Medical Sciences University,"Itanagar, Arunachal Pradesh",Private,N/A,8,336,88 K
IIT Guwahati,"Guwahati, Assam",Public,4.1,8,8.75 L,11.91 L
Gauhati University,"Guwahati, Assam",Public,3.1,16,80 K,3.04 L
Tezpur University,"Tezpur, Assam",Public,3.8,16,30 K,6.30 L
NIT Silchar,"Silchar, Assam",Public,3.2,5,60 K,3.40 L
Royal Global University,"Guwahati, Assam",Private,2.9,41,13 K,9.38 L
Jorhat Engineering College,"Jorhat, Assam",Public,3.8,2,60 K,2.11 L
Dakshin Guwahati B.Ed. College,"Guwahati, Assam",Private,N/A,1,15 K,8 L
"Girijananda Chowdhury Institute of Management and Technology, Guwahati","Guwahati, Assam",Private,3.5,8,60 K,5.67 L
Guwahati College of Architecture and Planning,"Guwahati, Assam",Private,3.8,2,55 K,3 L
"Ramniranjan Jhunjhunwala College of Arts, Science and Commerce","Guwahati, Assam",Private,3.9,9,30 K,53 K
Assam Don Bosco University,"Guwahati, Assam",Private,2.6,11,1.34 L,2.90 L
Assam Down Town University,"Guwahati, Assam",Private,3.2,29,60 K,4.48 L
Assam Institute of Management(AIM- Assam),"Guwahati, Assam",Public,N/A,3,25 K,3.16 L
Sibsagar College,"Sivasagar, Assam",Private,3.8,4,1.29 L,2.79 L
Moran College,"Sivasagar, Assam",Private,4.4,3,40 K,2.48 L
"Haji Anfr Ali College, Nagaon","Nagaon, Assam",Private,N/A,2,9 K,2.03 L
Paschim Guwahati Mahavidyalaya,"Guwahati, Assam",Private,N/A,2,3 K,1 L
Gauhati Medical College,"Guwahati, Assam",Public,3.9,4,13 K,9 L
Suren Das College,"Guwahati, Assam",Private,N/A,3,45 K,5 L
Margherita College,"Tinsukia, Assam",Private,2.9,3,1 L,8 L
Demow College,"Sivasagar, Assam",Public,N/A,1,4 K,1.32 L
Dhemaji College,"Dhemaji, Assam",Private,2.5,3,79 K,10.28 L
Krishna Bora B.Ed. College,"Nagaon, Assam",Private,N/A,1,2 K,20.60 L
Bengtol College,"Guwahati, Assam",Public,N/A,1,1.05 L,4.84 L
Sibsagar Girls College,"Sivasagar, Assam",Public,N/A,2,1.20 L,23.23 L
Ledo College,"Tinsukia, Assam",Private,N/A,1,32 K,23.05 L
Dibrugarh Hanumanbax Surajmall Kanoi College,"Dibrugarh, Assam",Public,4.0,0,1.23 L,8.04 L
IIT Patna,"Patna, Bihar",Public,4.2,4,60 K,6.30 L
Gaya College of Engineering,"Gaya, Bihar",Public,2.7,0,1.30 L,15.68 L
NIT Patna,"Patna, Bihar",Autonomous/Public,3.2,6,13 K,5.49 L
Dr. Rajendra Prasad Central Agricultural University,"Samastipur, Bihar",Public,3.6,8,1.80 L,8.57 L
Loknayak Jai Prakash Institute of Technology,"Chhapra, Bihar",Public,3.5,1,1.20 L,3.86 L
"National Institute of Fashion Technology, Patna","Patna, Bihar",Public,3.7,3,1.81 L,5.02 L
Sir J.J College of Architecture,"Gaya, Bihar",Private,3.3,2,1.60 L,
KS Rangasamy College of Technology,"Samastipur, Bihar",Private,3.2,6,44 K,
DMI - Development Management Institute,"Patna, Bihar",Public,N/A,0,6.60 L,
Ram Lakhan Singh Yadav College Patna,"Patna, Bihar",Private,4.2,3,6.92 L,
IIM BodhGaya,"Gaya, Bihar",Public,4.2,3,90 K,6.53 L
BIT Patna,"Patna, Bihar",Private,3.5,7,2.32 L,26.50 L
IIBM - Indian Institute of Business Management,"Patna, Bihar",Private,N/A,4,6.66 L,12.43 L
"Ram Krishna Dwarika College, Magadh University","Patna, Bihar",Private,N/A,5,4.50 L,
Dr. Bhanuben Mahendra Nanavati College of Home Science,"Samastipur, Bihar",Private,3.9,4,10.93 L,20.41 L
AKU,"Patna, Bihar",Public,2.7,7,32 K,5 L
Bhagalpur College of Engineering,"Bhagalpur, Bihar",Public,3.5,1,3.37 L,7.99 L
Netaji Subhas Institute of Technology,"Patna, Bihar",Private,3.5,1,1.40 L,2.10 L
SNM Institute of Management and Technology,"Madhubani, Bihar",Private,N/A,1,46 K,6.04 L
R.P. Sharma Institute of Technology,"Patna, Bihar",Private,N/A,2,1.20 L,8.80 L
VIBRM - Vaishali Institute of Business and Rural Management,"Muzaffarpur, Bihar",Private,3,5,720,2.20 L
"College of Commerce, Arts and Science, Magadh University","Patna, Bihar",Public,3.2,10,60 K,5 L
Darbhanga College Of Engineering,"Darbhanga, Bihar",Private,2.9,1,1.70 L,3.60 L
"Government Medical College, Surat","Bettiah, Bihar",Public,3.8,4,3.40 L,10.40 L
NMCH Patna,"Patna, Bihar",Public,4.1,3,75 K,4 L
IGIMS Patna,"Patna, Bihar",Public,3.5,4,6.27 L,11.94 L
Magadh Mahila College,"Patna, Bihar",Private,2.7,8,1.06 L,25 L
IIM Raipur,"Raipur, Chhattisgarh",Autonomous/Public,4.4,2,3.75 L,14.60 L
"Rungta College of Engineering and Technology, Bhilai","Bhilai, Chhattisgarh",Private,4.5,5,20 K,7 L
NIT Raipur,"Raipur, Chhattisgarh",Public,3.6,5,1.06 L,4.56 L
"Intl IIT, Naya Raipur","Raipur, Chhattisgarh",Public,N/A,2,50 K,3.57 L
"ITM University, Raipur","Raipur, Chhattisgarh",Private,4.1,11,8 L,13.50 L
MATS University,"Raipur, Chhattisgarh",Private,2.9,29,30 K,72 K
Bhilai Institute of Technology,"Durg, Chhattisgarh",Private,3.2,7,30 K,4.36 L
IIT Bhilai,"Bhilai, Chhattisgarh",Public,5,4,1.17 L,1.50 L
"The ICFAI University, Jaipur","Durg, Chhattisgarh",Private,4.8,14,90 K,22.73 L
St. Xavier's College Ranchi,"Bilaspur, Chhattisgarh",Private,3.1,9,3.60 L,
HNLU Raipur - Hidayatullah National Law University,"Raipur, Chhattisgarh",Public,2.8,3,88 K,5.64 L
Central Institute of Technology,"Raipur, Chhattisgarh",Private,3.2,1,7.20 L,
SSITM Bhilai,"Raipur, Chhattisgarh",Private,3.5,4,60 K,5.40 L
Shaheed Gundadhur College of Agriculture and Research Station,"Raipur, Chhattisgarh",Public,N/A,1,77 K,8.82 L
Pragati Engineering College,"Raipur, Chhattisgarh",Private,3.1,3,1.20 L,17.30 L
OPJU Raigarh,"Raigarh, Chhattisgarh",Private,N/A,7,3 L,6.72 L
RITEE Group of Institutes,"Raipur, Chhattisgarh",Private,4.2,12,6 L,16.10 L
Pragati College of Engineering and Management,"Raipur, Chhattisgarh",Private,3.4,1,30 K,5 L
AITM Rajnandgaon,"Rajnandangoan, Chhattisgarh",Private,N/A,1,26.57 L,
Shri Shankaracharya Institute of Engineering and Technology,"Durg, Chhattisgarh",Private,3.1,3,30 K,68 K
"Government Engineering College, Bilaspur","Bilaspur, Chhattisgarh",Public,2.9,2,4 K,1.38 L
"The ICFAI University, Raipur","Raipur, Chhattisgarh",Private,N/A,11,24 K,5.55 L
"Bharti College, Durg","Durg, Chhattisgarh",Private,3.3,4,1.72 L,
Garv Institute of Management and Technology,"Durg, Chhattisgarh",Private,N/A,2,1.50 L,10.20 L
"Dr. C.V. Raman University, Chhatisgarh, Bilaspur","Bilaspur, Chhattisgarh",Private,4.9,25,1.02 L,3.52 L
PRSU,"Raipur, Chhattisgarh",Public,2.8,24,1.51 L,3.58 L
Shri Rawatpura Sarkar University,"Raipur, Chhattisgarh",Private,4.6,29,1 K,6 K
Columbia Group of Institutions,"Raipur, Chhattisgarh",Private,4.5,4,1.20 L,4.80 L
Goa Institute of Management,"North Goa, Goa",Private,4.1,0,60 K,7.65 L
NIT Goa,"South Goa, Goa",Public,3.7,3,75 K,
V.M. Salgaocar College of Law,"Panaji, Goa",,N/A,2,1.05 L,48.36 L
Goa College of Pharmacy,"Panaji, Goa",Public,3.5,2,30 K,5 L
Goa College of Architecture,"Panaji, Goa",Public,N/A,1,3 K,1.82 L
Dhempe College of Arts and Science,"Panaji, Goa",Private,3.1,2,1.56 L,7.38 L
VVM's Govind Ramnath Kare College of Law (VVM GRK),"South Goa, Goa",Private,N/A,3,75 K,16 L
Padre Conceicao College of Engineering,"South Goa, Goa",Private,2.9,2,1.23 L,73.59 L
Sri Sri Institute of Management Studies,"South Goa, Goa",Private,N/A,2,1.13 L,5 L
IHM Goa,"Panaji, Goa",Public,N/A,2,79 K,16.20 L
IIT Goa,"South Goa, Goa",Public,2.5,3,12.90 L,
Dnyanprassarak Mandal's College and Research Centre,"North Goa, Goa",Private,4.8,5,1.40 L,3.10 L
Rosary College of Commerce and Arts,"North Goa, Goa",Private,N/A,5,21 K,1.29 L
Shree Rayeshwar Institute of Engineering and Information Technology,"North Goa, Goa",Private,N/A,1,5.38 L,20.42 L
Saraswat Vidyalayas Sridora Caculo College of Commerce and Management Studies,"North Goa, Goa",Private,N/A,2,1.53 L,7.60 L
St. Xavier's College - Goa,"North Goa, Goa",Private,3.3,7,1.60 L,6 L
ICAR-Central Coastal Agricultural Research Institute - [CCARI] Goa,"North Goa, Goa",Public,N/A,1,1.50 L,
Ann Institute of Hotel Management and Catering Technology,"North Goa, Goa",Private,N/A,3,4.90 L,7.45 L
Shree Damodar College of Commerce & Economics,"South Goa, Goa",Public,3.5,4,7.50 L,
"Goa College of Engineering, North Goa","North Goa, Goa",Public,3.2,3,1.40 L,5.20 L
Parvatibai Chowgule College Of Arts & Science,"South Goa, Goa",Private,3.3,3,86 K,3 L
"Goa Dental College And Hospital, Goa","North Goa, Goa",Public,N/A,0,5 L,19.68 L
"JD Institute of Fashion Technology, Goa","Panaji, Goa",Public,N/A,1,5.11 L,8.60 L
"National Centre for Antarctic and Ocean Research, South Goa","South Goa, Goa",Public,N/A,2,45 K,56 K
Carmel College for Women,"South Goa, Goa",Private,4,5,1.11 L,11.08 L
DPM's Shree Mallikarjun College of Arts and Commerce,"South Goa, Goa",Private,N/A,2,1.40 L,2.24 L
Goa Medical College,"North Goa, Goa",Public,4.7,3,540,1.08 L
IIT Gandhinagar,"Gandhinagar, Gujarat",Public,3.9,6,7 K,2.16 L
Gujarat University,"Ahmedabad, Gujarat",Public,3.5,37,2 K,1.41 L
SVNIT Surat,"Surat, Gujarat",Public,4.0,4,30 K,3.67 L
IIM Ahmedabad,"Ahmedabad, Gujarat",Public,4,4,9.50 L,18.82 L
Parul University,"Vadodara, Gujarat",Private,3.6,41,6.50 L,
"Adani Institute of Digital Technology Management, (AIDTM) Gandhinagar","Gandhinagar, Gujarat",Private,N/A,0,20 K,20 K
Institute of Technology Nirma University,"Ahmedabad, Gujarat",Private,3.9,13,50 K,1.57 L
Dhirubhai Ambani Institute of Information and Communication Technology,"Gandhinagar, Gujarat",Private,4.3,5,5 K,50 K
IRMA Anand,"Anand, Gujarat",Public,4.5,0,12 K,1.50 L
Nirma University,"Ahmedabad, Gujarat",Private,2.4,16,90 K,1.30 L
MSU Baroda,"Vadodara, Gujarat",Public,3.2,32,51.17 L,90 L
IMNU Ahmedabad,"Ahmedabad, Gujarat",Private,3.9,3,33 K,
GNLU,"Gandhinagar, Gujarat",Public,3.1,9,1.01 L,9.63 L
SAL Education,"Ahmedabad, Gujarat",Private,3.7,2,1.20 L,3.34 L
L. M. College of Pharmacy,"Ahmedabad, Gujarat",Public,N/A,3,1 L,2.20 L
Sardar Patel Institute of Technology,"Anand, Gujarat",Private,3.9,4,1.02 L,3.04 L
IIHM Ahmedabad,"Ahmedabad, Gujarat",Private,N/A,2,18.99 L,
NIFT Gandhinagar,"Gandhinagar, Gujarat",Public,4.0,5,45 K,6.25 L
Anand Agricultural University,"Anand, Gujarat",Public,N/A,1,90 K,4.05 L
"Institute of Law, Nirma University","Ahmedabad, Gujarat",Private,3.2,2,1.75 L,
S.V. Institute of Management,"Kadi, Gujarat",Private,N/A,1,1.10 L,2.37 L
A. D. Patel Institute of Technology,"Anand, Gujarat",Private,3.6,2,93 K,1.60 L
Sarvajanik College of Engineering and Technology,"Surat, Gujarat",Private,3.7,5,30 K,12.50 L
Adani Institute of Infrastructure Engineering,"Ahmedabad, Gujarat",Private,3.8,1,1.24 L,5.11 L
Ahmedabad University,"Ahmedabad, Gujarat",Public,3.7,11,56 K,2.16 L
V. T. Choksi Sarvajanik Law College,"Surat, Gujarat",Private,N/A,0,1.10 L,6.72 L
CHARUSAT,"Anand, Gujarat",Public,3.8,14,28.18 L,43.35 L
Geethanjali College of Engineering and Technology,"Rajkot, Gujarat",Private,3.9,3,8 K,1 L
Vivekanand Education Society’s Institute of Technology,"Surat, Gujarat",Private,3.8,4,1.32 L,
MDI Gurgaon,"Gurgaon, Haryana",Private,4.3,0,30 K,83 K
MRIIRS,"Faridabad, Haryana",Private,3.4,19,23 K,2.40 L
IIM Rohtak,"Rohtak, Haryana",Public,4.0,4,20 K,36 L
The NorthCap University,"Gurgaon, Haryana",Private,4.0,1,2 K,1.78 L
Pearl Academy Delhi,"New Delhi, Delhi NCR",Private,4.1,2,1.26 L,
NIT Kurukshetra,"Kurukshetra, Haryana",Public,3.7,5,1 L,3.33 L
JK Business School,"Gurgaon, Haryana",Private,3.2,2,1.20 L,17 L
"Faculty of Engineering and Technology, Manav Rachna International Institute of Research and Studies","Faridabad, Haryana",Private,4.5,4,45 K,6.25 L
"Geeta Institute of Law, Panipat","Panipat, Haryana",Private,4.6,4,1.32 L,13 L
Maharishi Markandeshwar University,"Ambala, Haryana",Private,3.1,22,29 K,12.30 L
"BIMT, Gurgaon","Gurgaon, Haryana",Private,2.7,2,2 L,25.15 L
School of Art and Architecture,"Gurgaon, Haryana",Private,3.7,4,2 K,2.70 L
IILM Institute for Business and Management,"Gurgaon, Haryana",Private,4.7,0,1.80 L,88.16 L
National Institute of Financial Management,"Faridabad, Haryana",Public,N/A,1,9.95 L,13 L
SRM University Sonepat,"Sonipat, Haryana",Private,3.9,15,1.02 L,3.05 L
MDU,"Rohtak, Haryana",Public,3.0,27,4.77 L,14 L
KITM - Kurukshetra Institute of Technology and Management,"Kurukshetra, Haryana",Private,3.2,3,6.91 L,19.53 L
GD Goenka University,"Gurgaon, Haryana",Private,3.7,41,1.34 L,1.53 L
Global Institute of Technology and Management,"Gurgaon, Haryana",Private,3.2,6,15.64 L,
IBMR Group of Institutions,"Gurgaon, Haryana",Private,4.2,4,7.45 L,7.45 L
Apeejay Stya University,"Gurgaon, Haryana",Private,3.3,14,8.70 L,
Jindal Global Business School,"Sonipat, Haryana",Private,4.5,3,53 K,4.20 L
"Jind Institute of Engineering and Technology (JIET, Jind)","Jind, Haryana",Private,N/A,1,1.40 L,6.09 L
"Great Lakes Institute of Management, Gurgaon","Gurgaon, Haryana",Private,4.2,4,14.69 L,
Jan Nayak Ch. Devi Lal Memorial College Of Engineering (JCDCOE),"Sirsa, Haryana",Private,4.2,2,1.20 L,17 L
Manav Rachna University (MRU),"Faridabad, Haryana",Private,3.4,24,1.73 L,3.82 L
Tilak Raj Chadha Institute of Management and Technology,"Yamuna Nagar, Haryana",Private,N/A,4,5.92 L,21.22 L
BML Munjal University,"Gurgaon, Haryana",Private,4.0,8,30 K,5 L
IIT Mandi,"Mandi, Himachal Pradesh",Public,3.5,7,19 K,
Baddi University,"Baddi, Himachal Pradesh",Private,3.5,11,30 K,7.15 L
St. Bede's College,"Shimla, Himachal Pradesh",Public,3.3,6,3 K,3 K
Shoolini University,"Solan, Himachal Pradesh",Private,3.9,18,2 K,1.20 L
IHM Shimla,"Shimla, Himachal Pradesh",Public,5,1,24 K,4.81 L
IEC University,"Solan, Himachal Pradesh",Private,3.3,14,12.68 L,30 L
IIM Sirmaur,"Paonta Sahib, Himachal Pradesh",Public,N/A,3,1.20 L,2 L
Dr. Yashwant Singh Parmar University of Horticulture and Forestry - YSPU,"Solan, Himachal Pradesh",Public,2.7,4,72 K,3.27 L
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,"Palampur, Himachal Pradesh",Public,2.5,7,30 K,2.55 L
Maharaja Agrasen University,"Solan, Himachal Pradesh",Private,4,18,2.37 L,9.20 L
"Himalayan Group of Professional Institutions, Sirmour","Sirmaur, Himachal Pradesh",Private,3.8,2,60 K,4.86 L
Eternal University,"Sirmaur, Himachal Pradesh",Private,N/A,14,64 K,3.67 L
Jaypee University of Information Technology (JUIT),"Solan, Himachal Pradesh",Private,3.2,4,30 K,56 K
Sardarkrushinagar Dantiwada Agricultural University,"Palampur, Himachal Pradesh",Public,4.0,4,1.40 L,5 L
MMU Solan,"Solan, Himachal Pradesh",Private,3.4,6,4 K,56 K
Arni University,"Kangra, Himachal Pradesh",Private,3.9,14,15 K,5 L
"University Institute of Information Technology, Himachal Pradesh University","Shimla, Himachal Pradesh",Private,3.6,1,1.05 L,88.20 L
Alakh Prakash Goyal Shimla University,"Shimla, Himachal Pradesh",Private,4.1,18,2 L,83.25 L
L.R. Group of Institutes,"Solan, Himachal Pradesh",Private,2.7,2,30 K,6.25 L
"Chitkara University, Solan","Solan, Himachal Pradesh",,4.3,4,90 K,7.91 L
T. R. Abhilashi Memorial Institute of Engineering and Technology,"Mandi, Himachal Pradesh",Private,3.5,2,2.50 L,15.12 L
IIIT Una,"Una, Himachal Pradesh",Public,N/A,1,2.50 L,11.25 L
International Centre For Distance Education And Open Learning,"Shimla, Himachal Pradesh",Public,N/A,10,80 K,4.76 L
Bahra University,"Solan, Himachal Pradesh",Private,N/A,25,1.36 L,4.89 L
Sri Sai University,"Palampur, Himachal Pradesh",Private,3.5,14,2.40 L,4.99 L
BIMT - Bells Institute of Management & Technology,"Shimla, Himachal Pradesh",Private,3,5,9 K,2.54 L
CUHP,"Dharamsala, Himachal Pradesh",Public,4,0,45 K,8.40 L
IIT (ISM) Dhanbad,"Dhanbad, Jharkhand",Public,3.9,5,2 L,10 L
BIT Mesra,"Ranchi, Jharkhand",Private,3.8,13,67 K,
Xavier Institute of Social Service,"Ranchi, Jharkhand",Private,5,1,2.16 L,
IIM Ranchi,"Ranchi, Jharkhand",Public/Government,4.2,4,37 K,1.21 L
NIT Jamshedpur,"Jamshedpur, Jharkhand",Public,3.8,5,5.62 L,
BIT Sindri,"Dhanbad, Jharkhand",Public,3.9,4,5.50 L,12.75 L
XLRI Jamshedpur,"Jamshedpur, Jharkhand",Private,4.3,2,1.80 L,
BAU - Birsa Agricultural University,"Ranchi, Jharkhand",Private,2.7,7,15 K,8.58 L
Maulana Azad College,"Ranchi, Jharkhand",Public,3.0,5,7 K,14.74 L
National Institute of Foundry and Forge Technology,"Ranchi, Jharkhand",Public,3.1,2,1.20 L,
"St. Xavier's College, Ahmedabad","Ranchi, Jharkhand",Private,3.8,7,50 K,14.83 L
Central University of Jharkhand,"Ranchi, Jharkhand",Private,2.8,4,1 L,12 L
Sarala Birla University,"Ranchi, Jharkhand",Private,3.5,10,1.60 L,12.48 L
Ranchi Women's College,"Ranchi, Jharkhand",,3.5,8,1.60 L,12.48 L
Central Institute of Psychiatry (CIP) - Jharkhand,"Ranchi, Jharkhand",Public,N/A,3,23 K,5.16 L
Sai Nath University,"Ranchi, Jharkhand",Private,4.5,20,1 L,12 L
IIIT Ranchi,"Jamshedpur, Jharkhand",Public,4.3,3,27 K,6.29 L
"The ICFAI University, Jharkhand","Ranchi, Jharkhand",Private,4.1,10,81 K,
ISM - Institute of Science and Management,"Ranchi, Jharkhand",Public,3.2,1,1.28 L,10.53 L
R.V.S College of Engineering and Technology - RVSCET,"Jamshedpur, Jharkhand",Private,3.2,5,83 K,2.33 L
KIMDS - Kejriwal Institute of Management and Development Studies,"Ranchi, Jharkhand",Private,N/A,2,2.40 L,7.82 L
Ranchi University,"Ranchi, Jharkhand",Public,3.2,26,28 K,2.55 L
Jharkhand Rai University,"Ranchi, Jharkhand",Private,3.5,13,93 K,3 L
"Sindri College, Sindri","Dhanbad, Jharkhand",Private,N/A,3,15 K,3.10 L
Nilamber Pitambar University,"Palamu, Jharkhand",Public,4.0,3,2.94 L,19.60 L
Usha Martin University,"Dhanbad, Jharkhand",Private,4.1,19,30 K,5 L
Ramgovind Institute of Technology,"Koderma, Jharkhand",Private,N/A,1,18.06 L,
IISc Bangalore,"Bangalore, Karnataka",Public,4.1,6,77 K,6 L
Manipal Academy of Higher Education (Manipal University),"Udupi, Karnataka",Private,3.1,39,1.30 L,9.89 L
NIT Surathkal,"Mangalore, Karnataka",Public,4.0,6,1.21 L,1.82 L
Mysore University,"Mysore, Karnataka",Public,3.6,20,1.65 L,13.80 L
Pearl Academy Bangalore,"Bangalore, Karnataka",Private,N/A,4,2 L,
RV University,"Bangalore, Karnataka",Private,4.9,15,1.57 L,3.72 L
JSS Academy of Higher Education and Research,"Mysore, Karnataka",Private,4.2,18,26 K,8 L
BMS College of Engineering (BMSCE),"Bangalore, Karnataka",Private,3.3,6,28 K,5.40 L
Christ University,"Bangalore, Karnataka",Private,4,22,2.99 L,
XIME Bangalore,"Bangalore, Karnataka",Private,3.5,1,1 K,28 K
"Rai Technology University, [RTU] Bangalore","Bangalore, Karnataka",Private,3.1,10,37 K,3 L
Ramaiah Institute of Technology,"Bangalore, Karnataka",Private,4.0,8,77 K,6 L
Nitte Meenakshi Institute of Technology,"Bangalore, Karnataka",Private,3.9,5,4.98 L,
KJC,"Bangalore, Karnataka",Private,4.0,12,1.95 L,4.96 L
AIMS Bangalore,"Bangalore, Karnataka",Private,3.8,8,2.03 L,12.53 L
"SJC, Bangalore","Bangalore, Karnataka",Private,3.9,13,75 K,76.15 L
"KIAMS - Kirloskar Institute of Advanced Management Studies, Harihar","Harihar, Karnataka",Private,4.4,0,30 K,5 L
RV Institute of Management,"Bangalore, Karnataka",Private,3.8,1,1.20 L,3 L
ISME Bangalore,"Bangalore, Karnataka",Private,3.4,4,90 K,3 L
St. Joseph's Institute of Management,"Bangalore, Karnataka",Private,N/A,1,75 K,98 K
The Oxford College of Engineering,"Bangalore, Karnataka",Private,3.4,5,80 K,1.10 L
Welingkar Bangalore,"Bangalore, Karnataka",Private,3.7,0,6 K,8 L
MCC Bangalore,"Bangalore, Karnataka",Private,4.0,12,90 K,16.33 L
IIIT Bangalore,"Bangalore, Karnataka",Private,3.4,4,5.25 L,14.25 L
SIBM Bangalore,"Bangalore, Karnataka",Private,4,2,6 K,73 K
"NMIMS, Bangalore","Bangalore, Karnataka",Private,4.1,4,30 K,6.25 L
Siddaganga Institute of Technology,"Tumkur, Karnataka",Public,3.6,8,51 K,4.35 L
Shri Dharmasthala Manjunatheshwara Institute for Management Development,"Mysore, Karnataka",Private,3.8,5,80 K,6 L
PES College of Engineering,"Mandya, Karnataka",Private,3.4,6,3 K,68 K
Ramaiah Institute of Management - MSRIM,"Bangalore, Karnataka",Private,3.9,0,1 L,79.50 L
Kerala University,"Thiruvananthapuram, Kerala",Public,3.5,38,60 K,1.17 Cr
MG University (MGU),"Kottayam, Kerala",Public,3.5,22,4 K,32 K
CUSAT,"Kochi, Kerala",Public,3.8,18,68 K,22.50 L
Calicut University,"Calicut, Kerala",Public,3.0,30,45 K,6 L
NIT Calicut,"Calicut, Kerala",Public,3.7,8,40 K,8.75 L
IIM Kozhikode,"Kozhikode, Kerala",Public,4.3,3,75 K,1.10 Cr
Rajagiri Business School,"Kochi, Kerala",Private,3.6,2,6 K,1.14 L
